Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xafbc62cf
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16715 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36400.000000

Root relaxation: objective 1.314540e+04, 4250 iterations, 0.20 seconds (0.23 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H   92    92                    21026.804210 15425.8381  26.6%  23.5    2s
H   93    93                    21025.121042 15425.8381  26.6%  23.5    2s
H   94    94                    20987.993123 15425.8381  26.5%  23.2    2s
H   99    96                    20848.997847 15425.8381  26.0%  23.4    2s
H  100    97                    20565.797847 15425.8381  25.0%  23.5    2s
H  104   101                    20075.936450 15425.8381  23.2%  23.8    2s
H  104   101                    20037.934387 15425.8381  23.0%  23.8    2s
H  106   103                    19566.332059 15425.8381  21.2%  23.7    2s
H  111   108                    19026.107059 15425.8381  18.9%  23.9    2s
H  130   115                    18993.540687 15429.2697  18.8%  23.8    3s
H  156   140                    18982.810716 15429.2697  18.7%  24.3    3s
H  231   214                    18812.231933 15429.2697  18.0%  23.4    3s
H  232   207                    18324.400000 15429.2697  15.8%  23.3    3s
H  263   221                    18200.800000 15430.5888  15.2%  24.0    3s
   511   440 15859.7605   27   97 18200.8000 15440.2196  15.2%  25.6    5s
   583   488 16588.1559   53  101 18200.8000 15993.8968  12.1%  22.5   10s
   633   525 16040.0334   27   99 18200.8000 16040.0334  11.9%  42.8   15s
H  719   553                    17559.600000 16047.7513  8.61%  41.4   16s
H  755   538                    17438.000000 16047.7513  7.97%  40.3   16s
H 1308   785                    17416.400000 16066.5842  7.75%  37.3   19s
  1442   842 16560.2353   53   51 17416.4000 16071.4719  7.72%  37.1   20s
H 1717   936                    17408.000000 16073.3606  7.67%  36.8   22s
H 1975  1073                    17396.600000 16085.9703  7.53%  37.4   25s
H 2052  1092                    17289.800000 16087.4060  6.95%  37.6   27s
  2539  1481 16303.8551   42   76 17289.8000 16101.1471  6.87%  38.7   30s
* 2760  1537              80    17173.000000 16104.0782  6.22%  38.6   31s
  3348  1974 16358.5086   41   74 17173.0000 16113.1302  6.17%  39.9   35s
  4117  2521     cutoff   75      17173.0000 16129.9415  6.07%  41.3   40s
  4679  2943 16917.9412   63   32 17173.0000 16136.5012  6.04%  42.4   45s
  5405  3434 16545.8038   44   72 17173.0000 16144.9409  5.99%  42.9   50s
H 5932  3420                    17025.200000 16149.4397  5.14%  43.3   54s
  5974  3448 16293.7284   43   77 17025.2000 16150.4475  5.14%  43.4   55s
  6665  3914 16447.4790   43   67 17025.2000 16158.1421  5.09%  44.2   60s
  7336  4345 16895.6393   57   55 17025.2000 16165.4819  5.05%  44.8   65s
  7961  4746 16736.2035   48   66 17025.2000 16169.6403  5.03%  45.3   70s
  8659  5194 16545.4408   46   69 17025.2000 16173.7227  5.00%  45.8   75s
H 8880  4998                    16945.400000 16175.2915  4.54%  45.9   77s
  9268  5225 16770.0912   59   47 16945.4000 16177.3502  4.53%  46.0   80s
  9938  5618 16231.0286   38   85 16945.4000 16181.3304  4.51%  46.2   85s
 10203  5801 16853.1661   56   97 16945.4000 16184.7295  4.49%  46.3  103s
 10222  5814 16394.2498   44  101 16945.4000 16184.7295  4.49%  46.2  105s
 10242  5827 16865.3744   62  102 16945.4000 16184.7295  4.49%  46.2  110s
 10256  5836 16196.8704   33  102 16945.4000 16184.7295  4.49%  46.1  115s
H10263  5547                    16877.800000 16184.7295  4.11%  46.1  118s
 10266  5551 16184.7295   39   98 16877.8000 16184.7295  4.11%  46.8  120s
 10273  5556 16184.7295   43   94 16877.8000 16184.7295  4.11%  46.8  125s
 10888  5799 16701.9754   74   48 16877.8000 16184.7295  4.11%  46.5  130s
 11301  5955 16415.7599   52   72 16877.8000 16197.3705  4.03%  46.6  135s
 11783  6088 16358.0156   54   72 16877.8000 16209.5926  3.96%  47.0  140s
 11987  6173 16829.0896   61   60 16877.8000 16211.6438  3.95%  47.2  145s
 12510  6300     cutoff   67      16877.8000 16222.1248  3.88%  47.7  150s
 13079  6485 16291.2335   48   77 16877.8000 16232.6985  3.82%  48.4  155s
 13568  6648 16857.0104   62   60 16877.8000 16241.3526  3.77%  49.1  160s
 14067  6772     cutoff   65      16877.8000 16248.7251  3.73%  49.6  165s
 14571  6918 16541.9841   55   57 16877.8000 16255.9766  3.68%  50.3  170s
 15156  7038 16285.4201   46   92 16877.8000 16262.5306  3.65%  50.8  175s
 15335  7080 16761.8204   74   30 16877.8000 16264.1872  3.64%  51.0  180s
 15803  7178 16329.6401   48   79 16877.8000 16269.1628  3.61%  51.5  185s
 16356  7313 16583.1746   58   70 16877.8000 16275.8406  3.57%  52.0  190s
 16947  7449 16728.0725   57   53 16877.8000 16278.8098  3.55%  52.3  195s
 17532  7586     cutoff   57      16877.8000 16284.5244  3.52%  52.7  200s
 18078  7697 16408.8618   52   67 16877.8000 16287.8772  3.50%  53.1  205s
 18641  7815 16394.6125   50   72 16877.8000 16290.7976  3.48%  53.3  210s
 19196  7927 16441.0307   58   73 16877.8000 16293.6114  3.46%  53.7  215s
 19749  8051 16580.5768   57   74 16877.8000 16296.4888  3.44%  54.0  220s
 20289  8157 16380.2221   48   77 16877.8000 16299.4079  3.43%  54.2  225s
 20844  8291 16318.9847   49   78 16877.8000 16301.4446  3.41%  54.5  230s
 21353  8416 16340.7027   46   86 16877.8000 16303.2087  3.40%  54.9  235s
 21635  8456 16780.2726   68   53 16877.8000 16304.3492  3.40%  54.9  240s
 22122  8587 16477.5328   53   70 16877.8000 16306.6705  3.38%  55.1  245s
 22623  8676 16641.4730   59   55 16877.8000 16308.3489  3.37%  55.3  250s
 23149  8789 16363.0731   48   84 16877.8000 16310.5734  3.36%  55.4  255s
 23685  8878 16863.5000   71   41 16877.8000 16312.3677  3.35%  55.6  260s
 24246  8989 16459.0817   52   68 16877.8000 16314.6277  3.34%  55.8  265s
 24797  9132 16473.5522   57   76 16877.8000 16317.7406  3.32%  56.0  270s
 25372  9216 16691.5854   61   62 16877.8000 16319.4783  3.31%  56.2  275s
 25930  9331 16835.2417   65   52 16877.8000 16321.2710  3.30%  56.3  280s
 26489  9423 16585.2462   54   62 16877.8000 16322.8459  3.29%  56.5  285s
 27053  9599 16718.2183   53   77 16877.8000 16324.6748  3.28%  56.7  290s
 27608  9886 16477.1869   52   73 16877.8000 16325.7071  3.27%  56.8  295s
 28141 10184 16620.0352   60   66 16877.8000 16327.8346  3.26%  57.0  300s
