Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0x6dce863f
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e-01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 130004.00000

Root relaxation: objective 2.978491e+04, 5520 iterations, 0.34 seconds (0.41 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H  260   213                    45197.000000 40930.0822  9.44%  34.1    4s
   295   241 41179.9257    2   82 45197.0000 40938.5390  9.42%  33.2    5s
H  390   332                    45147.000000 40938.5390  9.32%  34.9    5s
H  432   341                    45080.000000 40942.0138  9.18%  33.2    6s
   540   440 41996.2183   17   90 45080.0000 41996.2183  6.84%  34.0   10s
   615   492 42182.7926    1   83 45080.0000 42182.7926  6.43%  49.9   15s
H  688   515                    45064.600000 42220.7825  6.31%  61.1   19s
H  707   503                    44851.124286 42220.7825  5.86%  60.7   19s
H  708   481                    44758.124286 42220.7825  5.67%  60.6   19s
H  731   473                    44564.800000 42220.7825  5.26%  59.9   19s
H  733   454                    44562.000000 42220.7825  5.25%  59.8   19s
H  733   426                    44104.000000 42220.7825  4.27%  59.8   19s
H  814   450                    44019.200000 42223.2885  4.08%  58.1   19s
H  828   430                    43952.366667 42223.2885  3.93%  57.4   19s
*  830   407              70    43923.200000 42223.2885  3.87%  57.2   19s
   841   411 42426.1290   27   62 43923.2000 42276.0016  3.75%  57.5   20s
H 1173   530                    43835.200000 42282.7012  3.54%  51.1   21s
H 1385   533                    43643.800000 42290.7048  3.10%  49.2   23s
  1596   650 42400.9656   29   59 43643.8000 42297.2795  3.09%  49.8   25s
H 2120   890                    43419.200000 42326.3086  2.52%  48.5   29s
  2141   905 42372.2350   25   75 43419.2000 42328.0933  2.51%  48.6   30s
H 2147   906                    43414.600000 42328.0933  2.50%  48.7   30s
  2649  1217 42490.1396   30   65 43414.6000 42348.6583  2.46%  50.7   35s
  3181  1514 42476.2501   29   69 43414.6000 42368.7218  2.41%  52.1   40s
  3744  1841 43380.6863   46   32 43414.6000 42383.9252  2.37%  53.5   45s
  4218  2119 42479.8731   31   58 43414.6000 42392.3712  2.35%  54.6   50s
  4838  2449 43068.3884   44   36 43414.6000 42402.3730  2.33%  55.0   55s
  5405  2738 43124.4287   43   48 43414.6000 42412.0874  2.31%  55.6   60s
  5918  3008 43039.3216   40   46 43414.6000 42422.0483  2.29%  56.5   65s
  6581  3368 42675.0451   29   69 43414.6000 42433.1909  2.26%  56.5   70s
  7224  3713 42506.1044   29   67 43414.6000 42439.9965  2.24%  56.2   75s
  7803  4021     cutoff   47      43414.6000 42449.0604  2.22%  56.0   80s
  8401  4251 42673.8293   33   58 43414.6000 42456.6725  2.21%  56.1   85s
  9025  4584 42581.0671   29   62 43414.6000 42464.6612  2.19%  55.9   90s
  9632  4854 43036.0844   32   57 43414.6000 42470.5500  2.17%  56.2   95s
 10203  5139 42744.2838   39   88 43414.6000 42476.3891  2.16%  56.2  113s
 10216  5148 42697.9121   34   81 43414.6000 42476.3891  2.16%  56.1  115s
 10232  5158 43180.3049   50   84 43414.6000 42476.3891  2.16%  56.0  120s
 10246  5168 43117.2796   50   83 43414.6000 42476.3891  2.16%  56.0  125s
 10264  5180 43226.9893   42   85 43414.6000 42476.3891  2.16%  55.9  130s
 10287  5195 42795.0663   37   84 43414.6000 42476.3891  2.16%  55.7  135s
 10310  5210 42542.6599   31   84 43414.6000 42476.3891  2.16%  55.6  140s
 10319  5218 42476.3891   31   78 43414.6000 42476.3891  2.16%  57.0  145s
 10391  5257 43097.6077   68   24 43414.6000 42476.3891  2.16%  57.0  150s
 10920  5443 42547.7066   46   57 43414.6000 42497.4154  2.11%  56.5  155s
H11214  5256                    43407.400000 42522.9776  2.04%  56.3  158s
 11325  5289 42587.7929   43   59 43407.4000 42542.1716  1.99%  56.3  160s
 11613  5369 42822.7215   40   53 43407.4000 42560.0271  1.95%  56.6  165s
 11952  5414 42670.0463   36   64 43407.4000 42585.0423  1.89%  56.9  170s
 12272  5450 42895.3640   41   58 43407.4000 42598.8345  1.86%  57.5  175s
 12701  5487 42863.5808   44   61 43407.4000 42613.9037  1.83%  58.1  180s
 13106  5532 43076.2712   47   58 43407.4000 42625.2187  1.80%  58.7  185s
 13568  5580 43398.7318   50   39 43407.4000 42641.8781  1.76%  58.8  190s
 13878  5603 42854.2805   36   75 43407.4000 42652.0284  1.74%  59.3  195s
 14333  5629 42753.8725   44   56 43407.4000 42660.8420  1.72%  59.6  200s
 14811  5668 42845.6098   39   59 43407.4000 42675.8986  1.69%  59.7  205s
 15222  5705 42812.2427   40   56 43407.4000 42682.2108  1.67%  60.0  210s
 15529  5723     cutoff   60      43407.4000 42689.0777  1.65%  60.3  215s
 16024  5743     cutoff   47      43407.4000 42698.0957  1.63%  60.4  220s
 16482  5752 42835.1068   38   62 43407.4000 42709.0741  1.61%  60.6  225s
 16884  5767 43072.4663   56   39 43407.4000 42714.9785  1.60%  61.0  230s
 17410  5789 43360.7237   37   68 43407.4000 42722.7916  1.58%  61.0  235s
 17752  5817 42961.4412   44   55 43407.4000 42728.0135  1.57%  61.5  240s
 18180  5822 42988.5691   48   42 43407.4000 42734.4550  1.55%  61.7  245s
 18681  5857 43105.1956   46   38 43407.4000 42741.8015  1.53%  61.8  250s
 19244  5922 43359.9582   52   43 43407.4000 42751.4222  1.51%  61.6  255s
 19734  5880 42783.1471   55   47 43407.4000 42759.2095  1.49%  61.6  260s
 20194  5905 43037.4091   61   33 43407.4000 42764.4661  1.48%  61.8  265s
 20599  5941 42858.3220   41   42 43407.4000 42769.1732  1.47%  61.7  270s
 21120  5956     cutoff   53      43407.4000 42775.5977  1.46%  61.5  275s
 21625  5944 42874.2283   42   62 43407.4000 42781.2884  1.44%  61.6  280s
 22075  5957 43376.9940   51   50 43407.4000 42785.2717  1.43%  61.8  285s
 22561  5951 43183.4188   54   43 43407.4000 42789.3413  1.42%  61.9  290s
 23065  5976 43326.8521   45   47 43407.4000 42793.4609  1.41%  61.9  295s
 23525  5968     cutoff   62      43407.4000 42798.2263  1.40%  62.0  300s
 23876  5972 42930.2770   47   45 43407.4000 42800.4351  1.40%  62.0  305s
 24341  5944 43365.9399   64   18 43407.4000 42804.7025  1.39%  62.1  310s
 24896  5935 43311.7328   56   14 43407.4000 42809.7197  1.38%  61.9  315s
 25421  5977 43122.7219   42   55 43407.4000 42815.4839  1.36%  61.9  320s
 25957  6172 43268.1268   44   61 43407.4000 42819.6819  1.35%  61.8  325s
 26395  6349 43199.8314   60   38 43407.4000 42823.0338  1.35%  62.0  330s
 26752  6469 43120.8689   38   68 43407.4000 42826.5079  1.34%  62.0  335s
 27249  6598     cutoff   47      43407.4000 42831.8090  1.33%  62.0  340s
 27774  6751 43248.9427   47   25 43407.4000 42836.2289  1.32%  62.0  345s
 28331  6945     cutoff   56      43407.4000 42838.5829  1.31%  61.9  350s
 28913  7108 43162.2721   43   61 43407.4000 42841.7926  1.30%  61.7  355s
 29440  7264 43353.6717   49   41 43407.4000 42845.6122  1.29%  61.6  360s
 29956  7418 43081.9954   48   45 43407.4000 42848.2148  1.29%  61.5  365s
 30501  7582 42949.0368   48   44 43407.4000 42851.3191  1.28%  61.4  370s
 31036  7757 43391.7042   52   46 43407.4000 42854.8491  1.27%  61.3  375s
 31658  7953 42945.3415   37   67 43407.4000 42858.1192  1.27%  61.1  380s
 32204  8118 42949.8908   42   56 43407.4000 42860.8707  1.26%  61.1  385s
 32780  8241     cutoff   47      43407.4000 42864.1802  1.25%  60.9  390s
 33268  8382 43218.2605   45   50 43407.4000 42866.4238  1.25%  61.0  395s
 33807  8575 43366.4699   43   62 43407.4000 42869.7477  1.24%  60.9  400s
 34346  8689 43219.6665   46   49 43407.4000 42872.9551  1.23%  60.8  405s
 34870  8816 43307.1419   48   51 43407.4000 42877.4749  1.22%  60.8  410s
 35322  8939 43240.4582   48   42 43407.4000 42880.3654  1.21%  61.0  415s
 35746  9027 43077.1089   38   68 43407.4000 42883.0665  1.21%  61.0  420s
 36323  9164 43014.2522   51   51 43407.4000 42885.9017  1.20%  60.9  425s
 36686  9289 43359.6246   55   30 43407.4000 42887.4260  1.20%  60.8  430s
 37253  9418 43021.6638   62   38 43407.4000 42889.6528  1.19%  60.7  435s
 37819  9567 43317.5569   50   35 43407.4000 42892.3786  1.19%  60.7  440s
 38319  9690 43342.1604   48   56 43407.4000 42894.8575  1.18%  60.7  445s
 38900  9838 43354.8945   36   66 43407.4000 42897.1505  1.18%  60.6  450s
 39395  9991 43274.6799   59   47 43407.4000 42898.9552  1.17%  60.4  455s
 39940 10138 43218.6257   46   44 43407.4000 42901.5757  1.17%  60.4  460s
 40508 10274 42942.9429   48   48 43407.4000 42903.9196  1.16%  60.4  465s
 41038 10409 43229.0755   51   42 43407.4000 42906.4096  1.15%  60.3  470s
 41641 10543 43095.3303   51   33 43407.4000 42909.3111  1.15%  60.2  475s
 42175 10684 42935.6109   44   50 43407.4000 42911.6453  1.14%  60.1  480s
 42679 10804 42958.0626   47   52 43407.4000 42914.2389  1.14%  60.1  485s
 43266 10943 42964.2515   46   50 43407.4000 42916.3725  1.13%  60.0  490s
 43823 11036 43064.7049   42   67 43407.4000 42918.7830  1.13%  59.9  495s
 44468 11181 42984.5483   48   47 43407.4000 42920.8398  1.12%  59.8  500s
 44979 11303 43270.8285   58   34 43407.4000 42922.9673  1.12%  59.8  505s
 45247 11371 42977.8634   49   53 43407.4000 42924.0381  1.11%  59.7  510s
 45787 11487 43350.5922   60   26 43407.4000 42925.8466  1.11%  59.7  515s
 46368 11636 43317.3468   53   34 43407.4000 42927.8314  1.10%  59.6  520s
 47008 11790 43020.9123   46   48 43407.4000 42929.8572  1.10%  59.4  525s
 47629 11914 43246.8858   56   38 43407.4000 42931.4835  1.10%  59.3  530s
 48130 12038 43388.0002   46   62 43407.4000 42933.5935  1.09%  59.3  535s
 48701 12172 43108.4802   45   59 43407.4000 42935.3522  1.09%  59.3  540s
 49272 12315 43124.8384   46   61 43407.4000 42938.1426  1.08%  59.2  545s
 49959 12435 43173.3210   60   40 43407.4000 42941.0955  1.07%  59.0  550s
 50606 12616 43143.8304   50   32 43407.4000 42943.4608  1.07%  58.8  555s
 51168 12734 43317.9021   56   48 43407.4000 42945.4425  1.06%  58.8  560s
 51710 12863 43150.9665   49   47 43407.4000 42946.9729  1.06%  58.8  565s
 52272 12981 42976.0475   50   55 43407.4000 42949.0431  1.06%  58.7  570s
 52906 13120 43203.4898   59   36 43407.4000 42950.6416  1.05%  58.6  575s
 53484 13238 43105.0771   54   43 43407.4000 42952.8761  1.05%  58.6  580s
 54104 13346 43070.0891   46   51 43407.4000 42955.3448  1.04%  58.5  585s
 54709 13461 43330.2749   46   50 43407.4000 42957.3422  1.04%  58.4  590s
 55301 13535 43332.5212   46   47 43407.4000 42959.3539  1.03%  58.3  595s
 55839 13628 43110.9969   45   55 43407.4000 42961.0512  1.03%  58.4  600s
 56426 13736 43182.6798   44   51 43407.4000 42963.1406  1.02%  58.3  605s
 57053 13868 43348.9486   44   53 43407.4000 42965.1145  1.02%  58.2  610s
 57612 13973 43382.3508   49   27 43407.4000 42966.7169  1.02%  58.2  615s
 58200 14071 43119.8294   45   62 43407.4000 42968.6268  1.01%  58.1  620s
 58760 14186 43074.1700   50   42 43407.4000 42970.5785  1.01%  58.1  625s
 59333 14276 43000.1187   58   41 43407.4000 42972.9580  1.00%  58.1  630s
 59961 14405 43355.7928   45   55 43407.4000 42975.2337  1.00%  58.0  635s
 60272 14479 43279.5432   50   48 43407.4000 42975.8657  0.99%  58.0  642s
 60606 14531     cutoff   48      43407.4000 42976.8605  0.99%  58.0  645s
 61208 14644 43337.1273   48   47 43407.4000 42978.3300  0.99%  57.9  650s
 61823 14758 43219.7032   46   47 43407.4000 42980.2450  0.98%  57.8  655s
 62430 14889 43088.1415   44   57 43407.4000 42981.6601  0.98%  57.8  660s
 62969 15008 42993.7585   47   58 43407.4000 42983.4882  0.98%  57.8  665s
 63560 15113 43402.0905   51   47 43407.4000 42985.0798  0.97%  57.7  670s
 64164 15219 43311.2350   53   38 43407.4000 42986.6796  0.97%  57.6  675s
 64760 15334 43175.6453   44   56 43407.4000 42988.1900  0.97%  57.6  680s
 65484 15484 43155.2177   56   37 43407.4000 42990.2351  0.96%  57.4  685s
 66142 15610 43180.1049   52   41 43407.4000 42992.4591  0.96%  57.3  690s
 66643 15687 43360.1228   43   63 43407.4000 42993.8501  0.95%  57.4  695s
 67214 15774 43136.1716   49   43 43407.4000 42995.4255  0.95%  57.3  700s
 67848 15898 43377.9396   53   45 43407.4000 42997.6247  0.94%  57.2  705s
 68490 15990 43117.7177   49   46 43407.4000 42999.6854  0.94%  57.2  710s
 69145 16125 43217.0430   53   41 43407.4000 43001.2297  0.94%  57.1  715s
 69746 16235 43117.6133   42   48 43407.4000 43002.3489  0.93%  57.0  720s
 70339 16337 43347.1002   49   52 43407.4000 43003.6488  0.93%  57.0  725s
 71022 16488 43256.1063   50   19 43407.4000 43005.2817  0.93%  56.8  730s
 71683 16591 43389.9843   51   44 43407.4000 43006.8167  0.92%  56.8  735s
 72366 16687 43395.0506   46   51 43407.4000 43008.7233  0.92%  56.7  740s
 73022 16803 43278.5104   58   28 43407.4000 43010.4080  0.91%  56.6  745s
 73616 16887 43152.1193   42   50 43407.4000 43011.7534  0.91%  56.5  750s
 74191 16977 43218.9335   59   49 43407.4000 43012.7602  0.91%  56.5  755s
 74787 17067 43379.2385   53   46 43407.4000 43014.2728  0.91%  56.4  760s
 75381 17149 43345.9674   52   32 43407.4000 43015.9160  0.90%  56.4  765s
 75989 17281 43359.4955   53   43 43407.4000 43017.1434  0.90%  56.4  770s
 76644 17397 43385.0038   51   47 43407.4000 43018.7860  0.90%  56.3  775s
 77260 17496 43118.4720   46   49 43407.4000 43020.2705  0.89%  56.3  780s
 77817 17578 43062.8493   58   41 43407.4000 43021.4299  0.89%  56.3  785s
 78387 17690     cutoff   48      43407.4000 43022.6919  0.89%  56.3  790s
 79036 17828 43366.8100   43   48 43407.4000 43024.3345  0.88%  56.2  795s
 79717 17933 43323.3549   49   48 43407.4000 43025.7074  0.88%  56.1  800s
 80444 18057 43175.1752   48   45 43407.4000 43027.2586  0.88%  56.0  805s
 81092 18143 43366.4182   47   40 43407.4000 43028.6899  0.87%  55.9  810s
 81750 18278 43372.1592   50   34 43407.4000 43030.6906  0.87%  55.8  815s
 82385 18372 43298.3562   55   35 43407.4000 43032.0441  0.86%  55.8  820s
 83018 18465 43072.6796   47   54 43407.4000 43033.4625  0.86%  55.7  825s
 83613 18542 43395.6417   47   45 43407.4000 43034.7155  0.86%  55.7  830s
 84351 18669 43381.3139   56   46 43407.4000 43035.9151  0.86%  55.6  835s
 84967 18783 43392.8795   46   48 43407.4000 43037.0135  0.85%  55.5  840s
 85666 18906 43114.6638   49   39 43407.4000 43038.5706  0.85%  55.4  845s
 86354 19014 43144.9721   54   27 43407.4000 43039.9021  0.85%  55.3  850s
 87026 19119 43354.7910   46   46 43407.4000 43041.1657  0.84%  55.3  855s
 87574 19195 43114.0240   45   48 43407.4000 43042.4677  0.84%  55.2  860s
 88319 19315 43078.2105   50   47 43407.4000 43043.8999  0.84%  55.1  865s
 88963 19448 43406.9329   54   27 43407.4000 43045.2738  0.83%  55.0  870s
