Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xdde2805d
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [8e-01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16718 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 20800.000000

Root relaxation: objective 8.597783e+03, 3210 iterations, 0.11 seconds (0.11 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H  286   251                    10173.600000 9279.24992  8.79%  35.3    4s
*  288   226              72    9987.2000000 9279.24992  7.09%  35.1    4s
   454   356 9304.29279    3   88 9987.20000 9289.33141  6.99%  36.9    5s
   576   457 9707.42469   33   96 9987.20000 9442.00042  5.46%  47.5   10s
   607   479 9474.84828   23   93 9987.20000 9474.84828  5.13%  54.1   15s
H  768   547                    9981.6000000 9477.76899  5.05%  55.8   17s
H  840   559                    9977.6000000 9482.70117  4.96%  55.5   18s
H  866   553                    9969.6000000 9482.70117  4.88%  55.3   18s
H  918   557                    9968.0000000 9482.84209  4.87%  55.5   19s
H  944   554                    9960.0000000 9482.84209  4.79%  55.4   19s
H 1012   540                    9913.2000000 9483.25427  4.34%  54.8   19s
  1048   564 9868.23729   64   16 9913.20000 9483.25427  4.34%  54.0   20s
H 1074   513                    9851.4000000 9483.40096  3.74%  54.1   20s
  1518   677 9516.32857   29   88 9851.40000 9497.32914  3.59%  56.0   25s
H 1753   811                    9840.6000000 9502.37660  3.44%  56.6   26s
  2017   996 9825.96440   53   49 9840.60000 9504.22834  3.42%  57.1   30s
  2469  1282 9648.16565   37   64 9840.60000 9511.68202  3.34%  58.6   35s
  2947  1605 9670.18285   42   60 9840.60000 9516.34798  3.30%  59.8   40s
  3446  1944 9593.18474   32   80 9840.60000 9520.21242  3.26%  60.8   45s
  3891  2210 9548.89061   29   83 9840.60000 9523.24738  3.22%  61.7   50s
  4117  2382 9706.30748   44   56 9840.60000 9524.99032  3.21%  61.8   55s
* 4355  2454              62    9819.4000000 9525.72932  2.99%  62.0   57s
  4591  2601 9630.01835   38   63 9819.40000 9528.60684  2.96%  62.4   60s
H 4681  2256                    9771.0000000 9529.84123  2.47%  62.7   61s
  4990  2429 9732.89306   49   63 9771.00000 9532.29995  2.44%  63.4   65s
  5373  2663 9668.37369   39   59 9771.00000 9534.86701  2.42%  64.6   70s
  5836  2919 9569.69887   28   79 9771.00000 9536.68983  2.40%  65.1   75s
  6276  3132 9566.56875   31   77 9771.00000 9538.60434  2.38%  65.8   80s
