Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xa999d9f0
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 1e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 114400.00000

Root relaxation: objective 2.297166e+04, 3945 iterations, 0.21 seconds (0.23 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 35667.9383    0   88 85085.0660 35667.9383  58.1%     -    3s
     0     0 35719.6425    0   84 85085.0660 35719.6425  58.0%     -    3s
     0     0 35743.6965    0   87 85085.0660 35743.6965  58.0%     -    3s
     0     0 35744.8700    0   88 85085.0660 35744.8700  58.0%     -    3s
     0     0 35813.7543    0   86 85085.0660 35813.7543  57.9%     -    3s
     0     0 35822.6081    0   85 85085.0660 35822.6081  57.9%     -    3s
     0     0 35825.7288    0   86 85085.0660 35825.7288  57.9%     -    3s
     0     0 35910.6942    0   86 85085.0660 35910.6942  57.8%     -    3s
     0     0 35936.3802    0   91 85085.0660 35936.3802  57.8%     -    3s
     0     0 35943.0536    0   89 85085.0660 35943.0536  57.8%     -    3s
     0     0 35949.2895    0   90 85085.0660 35949.2895  57.7%     -    3s
     0     0 35949.4494    0   92 85085.0660 35949.4494  57.7%     -    3s
     0     0 35988.7575    0   89 85085.0660 35988.7575  57.7%     -    3s
     0     0 36000.9232    0   91 85085.0660 36000.9232  57.7%     -    3s
     0     0 36004.4562    0   90 85085.0660 36004.4562  57.7%     -    3s
     0     0 36028.9033    0   91 85085.0660 36028.9033  57.7%     -    3s
     0     0 36034.4525    0   90 85085.0660 36034.4525  57.6%     -    3s
     0     0 36036.0039    0   90 85085.0660 36036.0039  57.6%     -    3s
     0     0 36051.9484    0   85 85085.0660 36051.9484  57.6%     -    3s
     0     0 36051.9484    0   85 85085.0660 36051.9484  57.6%     -    5s
H    0     0                    66494.802270 36051.9484  45.8%     -    5s
H    0     0                    66148.873207 36051.9484  45.5%     -    5s
     0     2 36052.0862    0   85 66148.8732 36052.0862  45.5%     -    5s
H   26    24                    65586.307650 36212.1614  44.8%   121    6s
H   31    29                    63541.015999 36212.1614  43.0%   112    6s
H   34    32                    63534.321505 36212.1614  43.0%   114    6s
H   39    37                    61853.258325 36212.1614  41.5%   124    6s
H   52    44                    60017.419675 36212.1614  39.7%   115    6s
H   52    44                    58888.524587 36212.1614  38.5%   115    6s
H   60    48                    58885.605951 36212.1614  38.5%   110    6s
H   61    49                    58198.964456 36212.1614  37.8%   110    6s
H   78    62                    57684.997630 36212.1614  37.2%  94.1    6s
H   78    62                    57192.695394 36212.1614  36.7%  94.1    6s
H   87    69                    57140.072006 36212.1614  36.6%  86.0    7s
H   88    70                    56820.655231 36212.1614  36.3%  85.7    7s
H   93    75                    56715.660804 36212.1614  36.2%  82.5    7s
H  100    82                    54819.374912 36212.1614  33.9%  79.1    7s
H  102    84                    54647.947030 36212.1614  33.7%  78.0    7s
H  103    85                    54645.642061 36212.1614  33.7%  77.3    7s
H  106    88                    54605.466061 36212.1614  33.7%  75.5    7s
H  110    92                    54412.079454 36212.1614  33.4%  73.1    7s
H  112    94                    53452.193890 36212.1614  32.3%  72.2    7s
H  113    95                    53451.123502 36212.1614  32.3%  72.0    7s
H  114    96                    53214.991769 36212.1614  32.0%  71.4    7s
H  115    97                    53213.185916 36212.1614  31.9%  70.8    7s
H  116    97                    52996.937302 36212.1614  31.7%  70.4    7s
H  117    98                    52758.137302 36212.1614  31.4%  70.6    7s
H  123   101                    52468.000000 36212.1614  31.0%  68.4    7s
H  341   275                    52175.336869 36366.2596  30.3%  74.6    9s
H  364   288                    52124.336869 36472.4402  30.0%  75.3    9s
   369   295 40510.3761   13   64 52124.3369 36472.4402  30.0%  76.8   10s
H  463   368                    51778.574673 36472.4402  29.6%  81.7   11s
H  464   368                    51567.376791 36472.4402  29.3%  81.5   11s
H  469   368                    51434.893672 36472.4402  29.1%  80.8   11s
H  495   387                    51274.417030 36472.4402  28.9%  77.5   11s
H  502   376                    50737.110726 36472.4402  28.1%  77.1   11s
   535   402 46566.4721    3  100 50737.1107 46566.4721  8.22%  72.8   15s
H  552   391                    50723.574466 46720.2321  7.89%  70.6   16s
H  557   375                    50678.362436 46736.4841  7.78%  69.9   17s
   580   391 46751.3665   24  100 50678.3624 46751.3665  7.75%  83.8   20s
