Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0x81ce3956
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [2e-01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16718 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 20800.000000

Root relaxation: objective 1.005106e+04, 3316 iterations, 0.10 seconds (0.10 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H  688   480                    11628.800000 11062.0137  4.87%  36.4   15s
H  890   535                    11542.400000 11081.6409  3.99%  34.6   16s
  1531   781 11142.8599   27   89 11542.4000 11110.5126  3.74%  33.9   20s
  2294  1213 11389.6826   36   53 11542.4000 11139.4978  3.49%  33.1   25s
* 3064  1642              69    11521.600000 11157.4421  3.16%  32.5   29s
  3137  1689 11186.6238   30   91 11521.6000 11160.0790  3.14%  32.6   30s
  3941  2201 11390.8147   43   65 11521.6000 11169.1327  3.06%  32.7   36s
  4462  2513 11313.4075   33   76 11521.6000 11174.6053  3.01%  32.7   40s
H 5243  2965                    11519.200000 11181.2012  2.93%  33.1   45s
  6119  3502 11221.5120   30   87 11519.2000 11186.9047  2.88%  33.1   50s
  7018  4039 11411.0557   45   48 11519.2000 11193.4577  2.83%  33.0   55s
H 7211  4093                    11509.400000 11195.1173  2.73%  32.9   56s
  7827  4488 11357.4164   44   45 11509.4000 11199.4605  2.69%  33.1   60s
  8712  5003 11241.3161   30   88 11509.4000 11203.3010  2.66%  33.0   65s
  9694  5629 11420.0407   40   58 11509.4000 11207.7005  2.62%  33.0   70s
 10203  5936 11461.7864   44  102 11509.4000 11209.6218  2.60%  32.8   86s
 10233  5956 11393.7625   40  102 11509.4000 11209.6218  2.60%  32.7   90s
 10247  5965 11331.0712   42  102 11509.4000 11209.6218  2.60%  32.7   95s
 10268  5979 11400.0547   45  102 11509.4000 11209.6218  2.60%  32.6  100s
H10280  5686                    11478.400000 11209.6218  2.34%  32.6  104s
 10282  5690 11209.6218   34   98 11478.4000 11209.6218  2.34%  33.0  105s
H10333  5436                    11473.600000 11209.6218  2.30%  33.0  109s
 10352  5438 11209.6218   36   91 11473.6000 11209.6218  2.30%  33.0  110s
 11033  5672 11221.0364   39   92 11473.6000 11209.6218  2.30%  33.4  115s
 11540  5783 11226.8279   42   76 11473.6000 11209.6218  2.30%  33.8  120s
 12002  5891 11220.8076   41   88 11473.6000 11211.3353  2.29%  34.1  125s
 12758  6059 11322.7811   47   52 11473.6000 11221.5158  2.20%  34.5  130s
 13617  6234 11374.0507   50   60 11473.6000 11230.4817  2.12%  34.9  135s
 14547  6412 11400.6736   52   61 11473.6000 11240.0911  2.04%  35.2  140s
 15352  6565 11412.1791   55   38 11473.6000 11246.2307  1.98%  35.7  146s
 16031  6670 11403.4007   51   38 11473.6000 11251.6171  1.93%  35.9  150s
 16841  6814 11370.3308   45   74 11473.6000 11256.1578  1.90%  36.3  155s
