Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xf0f13c2f
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36423.000000

Root relaxation: objective 1.331465e+04, 3767 iterations, 0.17 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H   31    29                    28133.242491 16040.2450  43.0%  33.7    3s
H   32    30                    27939.895603 16040.2450  42.6%  33.0    3s
H   33    31                    27856.408331 16040.2450  42.4%  33.6    3s
H   37    35                    26123.663739 16040.2450  38.6%  33.9    3s
H   40    38                    26087.522182 16040.2450  38.5%  35.4    3s
H   41    39                    25656.517882 16040.2450  37.5%  35.4    3s
H   43    41                    25129.157486 16040.2450  36.2%  35.3    3s
H   45    43                    24912.247371 16040.2450  35.6%  34.9    3s
H   47    45                    24094.437769 16040.2450  33.4%  33.9    3s
H   48    46                    23992.134741 16040.2450  33.1%  33.7    3s
H   49    47                    22921.053769 16040.2450  30.0%  34.0    3s
H   50    48                    22614.381772 16040.2450  29.1%  34.3    3s
H   52    50                    22461.587296 16040.2450  28.6%  34.8    3s
H   53    51                    21642.400395 16040.2450  25.9%  34.6    3s
H   61    59                    21439.819423 16040.2450  25.2%  34.1    3s
H   71    69                    21399.622102 16040.2450  25.0%  33.6    3s
H   73    71                    20710.280928 16040.2450  22.5%  33.4    3s
H   74    72                    20653.227567 16040.2450  22.3%  33.2    3s
H   76    74                    20639.708552 16040.2450  22.3%  33.1    3s
H   78    76                    20516.196966 16040.2450  21.8%  32.4    3s
H   80    78                    20112.211133 16040.2450  20.2%  31.9    3s
H   81    79                    18386.800000 16040.2450  12.8%  31.7    3s
H  104   102                    18344.608939 16040.2450  12.6%  28.1    3s
H  104   102                    18309.607821 16040.2450  12.4%  28.1    3s
*  105    99              73    17849.400000 16040.2450  10.1%  27.9    3s
   392   350 17793.5759   60   17 17849.4000 16053.4490  10.1%  28.8    5s
   571   484 16793.0402   21  100 17849.4000 16676.5620  6.57%  24.7   10s
   620   520 16824.6057   28   79 17849.4000 16723.5719  6.31%  50.1   15s
  1206   828 16993.0816   37   60 17849.4000 16741.9019  6.20%  43.2   20s
  1818  1085     cutoff   45      17849.4000 16759.7253  6.10%  43.5   25s
  2601  1554 17568.1917   54   23 17849.4000 16786.6809  5.95%  43.8   30s
* 2620  1545              73    17812.400000 16786.6809  5.76%  43.6   30s
  3255  2026 17649.1745   53   42 17812.4000 16794.7504  5.71%  44.6   35s
H 3849  2423                    17787.400000 16807.5608  5.51%  44.7   39s
  3901  2464 17332.4180   48   40 17787.4000 16809.6065  5.50%  44.7   40s
  4497  2868 17202.0198   45   57 17787.4000 16817.0155  5.46%  45.3   45s
  5187  3370 17015.0563   34   78 17787.4000 16825.3103  5.41%  45.7   50s
  5866  3857 17227.7784   41   64 17787.4000 16835.1855  5.35%  45.8   55s
  6666  4433 17423.6770   52   48 17787.4000 16843.3653  5.31%  45.8   60s
H 7065  4069                    17629.800000 16845.9137  4.45%  45.9   63s
  7337  4255 17589.7326   48   48 17629.8000 16848.6574  4.43%  45.9   65s
  7873  4596 17519.3335   39   63 17629.8000 16852.7465  4.41%  46.2   71s
H 8333  4833                    17626.200000 16858.6438  4.35%  46.3   76s
  8913  5208 17020.4649   32   73 17626.2000 16863.8721  4.32%  46.5   80s
H 9248  5381                    17625.200000 16865.8128  4.31%  46.4   82s
  9656  5671 17405.2196   45   49 17625.2000 16870.0322  4.28%  46.5   85s
 10203  6009 17291.1940   47   98 17625.2000 16873.3637  4.27%  46.5  104s
 10213  6016 17230.2459   38  102 17625.2000 16873.3637  4.27%  46.5  105s
 10235  6030 17167.0281   45  101 17625.2000 16873.3637  4.27%  46.4  110s
 10260  6047 17577.8538   60  100 17625.2000 16873.3637  4.27%  46.3  115s
 10284  6063 17122.6183   34  100 17625.2000 16873.3637  4.27%  46.2  120s
H10285  5759                    17566.600000 16873.3637  3.95%  46.2  121s
 10290  5764 16873.3637   33   98 17566.6000 16873.3637  3.95%  47.0  125s
 10390  5813 17275.9488   54   56 17566.6000 16873.3637  3.95%  47.0  130s
 10822  5989 17359.4239   53   63 17566.6000 16873.3637  3.95%  46.9  135s
 11242  6140 17357.2701   59   50 17566.6000 16884.6711  3.88%  46.9  140s
 11653  6233 16930.5823   38   88 17566.6000 16901.3670  3.79%  46.8  145s
 12254  6461 17561.7355   53   61 17566.6000 16917.8851  3.69%  47.0  150s
 12739  6567 17068.4577   56   51 17566.6000 16927.0607  3.64%  47.1  155s
 13401  6732 17273.1677   51   56 17566.6000 16936.7810  3.59%  47.3  160s
 14081  6943 16978.8452   36   89 17566.6000 16945.5720  3.54%  47.6  165s
 14726  7112 17087.3656   41   82 17566.6000 16952.8676  3.49%  47.7  170s
 15441  7298 17565.8116   58   42 17566.6000 16963.6835  3.43%  47.8  175s
 16085  7470 17071.7421   46   80 17566.6000 16971.4893  3.39%  48.0  180s
 16322  7497 17030.3383   45   76 17566.6000 16972.3627  3.38%  48.1  185s
 17007  7639 17085.2465   42   77 17566.6000 16982.3419  3.33%  48.2  190s
 17668  7796 17272.1773   53   53 17566.6000 16986.5816  3.30%  48.3  195s
 17826  7843 17284.5094   56   50 17566.6000 16987.2447  3.30%  48.3  200s
 18476  7974 17560.2108   48   70 17566.6000 16991.3247  3.27%  48.4  205s
 19142  8158 17035.9496   43   79 17566.6000 16996.3059  3.25%  48.6  210s
 19836  8344 17171.2147   46   76 17566.6000 17000.6394  3.22%  48.6  215s
 20507  8522 17476.6602   65   35 17566.6000 17004.1609  3.20%  48.7  220s
 21183  8683 17548.6601   51   60 17566.6000 17008.5121  3.18%  48.8  225s
 21878  8826 17123.8735   44   76 17566.6000 17011.5908  3.16%  48.8  230s
 22598  9002 17366.5755   54   64 17566.6000 17015.7183  3.14%  48.8  235s
 23104  9122 17200.5575   54   66 17566.6000 17018.2059  3.12%  48.9  240s
 23797  9274 17076.1042   43   66 17566.6000 17021.8238  3.10%  48.9  245s
 24448  9410 17464.1094   61   23 17566.6000 17024.7701  3.08%  49.1  250s
 25117  9538 17123.9292   41   86 17566.6000 17027.9254  3.07%  49.1  255s
 25744  9636 17143.9427   43   79 17566.6000 17032.3468  3.04%  49.2  260s
 26453  9807 17485.1676   56   60 17566.6000 17036.2972  3.02%  49.2  265s
 27154  9927 17450.6451   47   65 17566.6000 17038.4863  3.01%  49.2  270s
 27816 10125 17140.1719   47   69 17566.6000 17041.7514  2.99%  49.3  275s
 28506 10502 17516.1764   54   45 17566.6000 17043.6367  2.98%  49.3  280s
 29191 10857 17150.7070   43   71 17566.6000 17045.9680  2.96%  49.3  285s
 29856 11180 17119.4865   42   65 17566.6000 17047.8057  2.95%  49.4  290s
 30537 11539 17169.5691   44   74 17566.6000 17050.5928  2.94%  49.4  295s
 31167 11863 17491.1883   56   55 17566.6000 17052.3906  2.93%  49.5  300s
 31832 12218 17175.3981   46   68 17566.6000 17054.1212  2.92%  49.6  305s
 32485 12553     cutoff   50      17566.6000 17056.4239  2.90%  49.6  310s
 33065 12843 17454.7908   62   42 17566.6000 17057.8308  2.90%  49.7  315s
 33733 13190 17441.6033   55   59 17566.6000 17059.3736  2.89%  49.7  320s
 34410 13543 17566.5221   52   57 17566.6000 17061.9014  2.87%  49.7  325s
 35060 13905 17106.1623   47   62 17566.6000 17064.0761  2.86%  49.8  330s
 35397 14083 17346.0327   64   45 17566.6000 17065.1661  2.85%  49.8  337s
 35762 14273 17099.8045   43   67 17566.6000 17065.6675  2.85%  49.9  340s
 36405 14592 17360.2117   50   68 17566.6000 17066.7045  2.85%  50.0  345s
 37050 14913 17491.2528   50   61 17566.6000 17068.8193  2.83%  50.0  350s
 37654 15201 17201.1705   49   66 17566.6000 17070.3115  2.83%  50.1  355s
 38270 15510 17155.6136   44   77 17566.6000 17072.1949  2.81%  50.2  360s
 38937 15864 17300.8841   49   56 17566.6000 17073.1241  2.81%  50.2  365s
 39594 16192 17177.1905   44   57 17566.6000 17075.0617  2.80%  50.2  370s
 40258 16524 17291.6110   41   84 17566.6000 17076.6538  2.79%  50.2  375s
 40859 16805 17149.6992   48   71 17566.6000 17077.8351  2.78%  50.2  380s
 41427 17096 17140.8172   50   61 17566.6000 17078.8105  2.78%  50.3  385s
 42069 17433     cutoff   42      17566.6000 17079.7986  2.77%  50.3  390s
 42681 17739 17197.2049   49   60 17566.6000 17080.8254  2.77%  50.4  395s
 43257 18024 17508.4166   62   46 17566.6000 17081.7822  2.76%  50.4  400s
 43929 18343 17533.7086   59   49 17566.6000 17083.2580  2.75%  50.4  405s
 44559 18634 17482.7816   58   39 17566.6000 17084.4290  2.74%  50.4  410s
 45213 18951 17257.2398   46   71 17566.6000 17086.0139  2.74%  50.4  415s
 45859 19258 17184.4604   46   74 17566.6000 17087.7219  2.73%  50.4  420s
 46465 19571 17547.6752   62   37 17566.6000 17088.8304  2.72%  50.5  425s
 47084 19875 17113.3543   42   67 17566.6000 17090.0742  2.71%  50.6  430s
 47723 20156 17547.3046   65   41 17566.6000 17091.1122  2.71%  50.6  435s
 48307 20476 17249.5158   44   76 17566.6000 17092.3042  2.70%  50.6  440s
 48337 20482 17530.9822   51   66 17566.6000 17092.3042  2.70%  50.6  445s
 48955 20764 17416.7778   51   60 17566.6000 17093.4333  2.69%  50.6  450s
 49610 21083 17560.2295   54   56 17566.6000 17094.2123  2.69%  50.7  455s
 50221 21356 17411.4522   61   50 17566.6000 17095.1413  2.68%  50.7  460s
 50845 21634 17384.9084   55   43 17566.6000 17096.0565  2.68%  50.7  465s
 51488 21945 17491.6042   55   51 17566.6000 17096.9699  2.67%  50.7  470s
 52087 22226     cutoff   49      17566.6000 17098.1188  2.67%  50.7  475s
 52737 22581 17528.8563   68   44 17566.6000 17099.4484  2.66%  50.7  480s
 53358 22857 17256.9065   48   72 17566.6000 17100.7998  2.65%  50.8  485s
 53980 23127 17129.2842   44   57 17566.6000 17101.9426  2.65%  50.8  490s
 54619 23433 17212.1728   49   52 17566.6000 17102.8093  2.64%  50.8  495s
 55223 23723 17382.1912   42   82 17566.6000 17103.8262  2.63%  50.8  500s
 55862 24043 17558.7203   61   54 17566.6000 17104.9406  2.63%  50.7  505s
 56464 24361 17379.8679   51   56 17566.6000 17106.0068  2.62%  50.8  510s
 57076 24652 17142.7726   45   60 17566.6000 17106.6825  2.62%  50.8  515s
 57699 24931 17344.5504   49   59 17566.6000 17107.6439  2.61%  50.8  520s
 58280 25180 17519.1504   56   56 17566.6000 17108.6699  2.61%  50.8  525s
 58837 25443 17445.6077   47   62 17566.6000 17109.7595  2.60%  50.9  530s
 59457 25724 17565.6282   67   37 17566.6000 17110.8635  2.59%  50.9  535s
 60058 26001 17241.5290   57   49 17566.6000 17111.6940  2.59%  50.9  540s
 60657 26290 17157.3887   41   69 17566.6000 17112.5396  2.58%  50.9  545s
 61237 26551 17214.6644   44   61 17566.6000 17113.2777  2.58%  50.9  550s
 61831 26815 17418.4125   50   49 17566.6000 17114.0819  2.58%  50.9  555s
 62475 27140 17524.7077   52   60 17566.6000 17115.0879  2.57%  50.9  560s
 63073 27411 17461.3295   62   40 17566.6000 17116.2323  2.56%  50.9  565s
 63618 27670 17374.9091   45   72 17566.6000 17117.0353  2.56%  51.0  570s
 64231 27951 17173.7436   45   73 17566.6000 17117.8835  2.55%  51.0  575s
 64768 28175 17406.5029   48   52 17566.6000 17118.6103  2.55%  51.0  580s
 65382 28437 17307.7465   56   51 17566.6000 17119.2945  2.55%  51.0  585s
 65973 28727 17289.1539   55   65 17566.6000 17120.2146  2.54%  51.0  590s
 66599 28997 17539.4461   64   33 17566.6000 17121.0910  2.54%  51.0  595s
 67231 29277     cutoff   61      17566.6000 17121.7591  2.53%  51.0  600s
 67826 29565 17213.6696   46   67 17566.6000 17122.4065  2.53%  51.0  605s
 68447 29870 17261.0854   45   79 17566.6000 17123.1443  2.52%  51.0  610s
 69014 30142 17448.0054   65   27 17566.6000 17123.6882  2.52%  51.0  615s
 69616 30393 17481.7068   49   65 17566.6000 17124.4744  2.52%  51.0  620s
 70209 30675 17475.2314   56   46 17566.6000 17125.0339  2.51%  51.1  625s
 70791 30916 17205.3236   49   68 17566.6000 17125.7561  2.51%  51.1  630s
 71407 31196 17199.5925   49   60 17566.6000 17126.5726  2.50%  51.1  635s
 72044 31484 17408.8518   53   51 17566.6000 17127.3724  2.50%  51.0  640s
 72659 31751 17555.4510   56   49 17566.6000 17128.2806  2.50%  51.0  645s
 73193 31979 17358.5681   43   60 17566.6000 17128.7143  2.49%  51.1  650s
 73831 32273     cutoff   62      17566.6000 17129.4624  2.49%  51.1  655s
 74317 32498 17552.0544   55   43 17566.6000 17130.0142  2.49%  51.1  660s
 74974 32811 17555.2153   59   36 17566.6000 17130.7411  2.48%  51.0  665s
 75572 33095 17332.5876   53   59 17566.6000 17131.4509  2.48%  51.1  670s
 76153 33363 17410.9219   51   60 17566.6000 17132.0319  2.47%  51.1  675s
 76764 33680 17175.3461   49   62 17566.6000 17132.6540  2.47%  51.1  680s
 77379 33960 17535.7250   49   66 17566.6000 17133.3888  2.47%  51.1  685s
 77974 34212 17463.6502   52   70 17566.6000 17134.0845  2.46%  51.1  690s
 78631 34480 17478.9559   65   40 17566.6000 17134.8611  2.46%  51.1  695s
 79180 34722 17305.3400   49   65 17566.6000 17135.3819  2.45%  51.1  700s
 79797 34989 17556.5762   57   32 17566.6000 17135.7754  2.45%  51.1  705s
 80400 35267 17376.4256   47   61 17566.6000 17136.6007  2.45%  51.1  710s
 80982 35511 17517.9792   55   57 17566.6000 17137.1812  2.44%  51.1  715s
 81582 35737 17203.0735   46   60 17566.6000 17137.9606  2.44%  51.1  720s
 82177 36039     cutoff   52      17566.6000 17138.4465  2.44%  51.1  725s
 82817 36285 17344.2595   50   62 17566.6000 17138.8877  2.43%  51.2  730s
 83352 36557 17526.2915   55   47 17566.6000 17139.2750  2.43%  51.2  740s
 83915 36806 17324.6926   47   73 17566.6000 17139.8947  2.43%  51.2  745s
 84537 37096 17244.2983   44   71 17566.6000 17140.5183  2.43%  51.1  750s
 85123 37365 17562.5973   64   42 17566.6000 17141.0663  2.42%  51.1  755s
 85746 37656 17566.4552   57   48 17566.6000 17141.8929  2.42%  51.1  760s
 86359 37905 17428.3150   54   58 17566.6000 17142.3352  2.42%  51.1  765s
 86976 38166 17301.7405   48   64 17566.6000 17142.8506  2.41%  51.1  770s
 87609 38436 17409.9229   54   58 17566.6000 17143.4662  2.41%  51.1  775s
