Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xbce764ef
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [5e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36427.000000

Root relaxation: objective 1.347927e+04, 3562 iterations, 0.17 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H 5603  2555                    16601.500000 16215.8365  2.32%  47.8   50s
  6340  2910 16566.8274   39   45 16601.5000 16227.6544  2.25%  48.6   55s
  6890  3165 16386.8790   35   54 16601.5000 16235.4481  2.20%  49.4   62s
  7169  3306 16524.3475   37   64 16601.5000 16237.9815  2.19%  49.6   65s
  7916  3637 16532.1067   43   53 16601.5000 16244.2372  2.15%  49.7   70s
H 8615  3841                    16585.000000 16249.0636  2.03%  49.6   74s
  8618  3846 16312.1947   33   63 16585.0000 16249.1457  2.03%  49.6   75s
  9416  4182 16304.2608   29   70 16585.0000 16254.8892  1.99%  49.9   80s
 10164  4468 16584.8853   38   65 16585.0000 16259.7774  1.96%  49.9   85s
 10203  4482 16539.1244   42   97 16585.0000 16260.0074  1.96%  49.9   99s
 10205  4483 16388.1708   33   82 16585.0000 16260.0074  1.96%  49.9  100s
 10237  4505 16301.8193   37   97 16585.0000 16260.0074  1.96%  49.7  105s
 10254  4516 16565.8972   41  100 16585.0000 16260.0074  1.96%  49.7  110s
 10273  4529 16520.1031   44   95 16585.0000 16260.0074  1.96%  49.6  115s
 10299  4546 16353.0700   38   96 16585.0000 16260.0074  1.96%  49.4  121s
 10306  4553 16260.0074   33   85 16585.0000 16260.0074  1.96%  50.2  125s
 10595  4661 16473.2110   44   76 16585.0000 16260.0074  1.96%  50.1  130s
 11138  4771 16564.5624   38   78 16585.0000 16272.2398  1.89%  50.3  135s
 11530  4850 16556.6110   43   67 16585.0000 16293.1107  1.76%  50.6  140s
 11805  4901 16534.5893   57   38 16585.0000 16300.4420  1.72%  50.9  146s
 12266  4991 16523.5596   44   69 16585.0000 16312.7550  1.64%  51.2  150s
 12741  5022 16458.2791   43   70 16585.0000 16327.0670  1.56%  51.6  155s
 13392  5079 16478.9220   49   54 16585.0000 16338.7124  1.49%  51.7  160s
 14044  5123 16579.7380   50   58 16585.0000 16348.6737  1.42%  51.7  165s
 14672  5161 16554.0802   54   49 16585.0000 16357.6397  1.37%  51.7  170s
 15163  5180 16422.0932   42   67 16585.0000 16363.6032  1.33%  52.0  175s
 15372  5176 16544.6934   45   63 16585.0000 16365.8184  1.32%  52.1  180s
 15824  5184 16508.9709   46   65 16585.0000 16370.7237  1.29%  52.3  185s
 16360  5195 16580.6229   44   72 16585.0000 16373.5847  1.27%  52.8  190s
 16951  5180 16429.4987   43   72 16585.0000 16377.7230  1.25%  52.9  195s
 17539  5172 16417.7145   38   84 16585.0000 16382.6727  1.22%  53.0  200s
 18112  5143 16487.7286   44   55 16585.0000 16386.2076  1.20%  53.2  205s
 18727  5128 16563.0538   41   70 16585.0000 16390.2379  1.17%  53.4  210s
 19251  5124 16515.5852   46   50 16585.0000 16393.2685  1.16%  53.6  215s
 19805  5111 16580.3265   47   55 16585.0000 16396.9942  1.13%  53.7  220s
 20354  5072 16519.6716   47   57 16585.0000 16399.0480  1.12%  53.9  225s
 20935  5048 16583.8587   44   77 16585.0000 16402.1870  1.10%  54.1  230s
 21425  5027 16532.0391   42   64 16585.0000 16404.1878  1.09%  54.5  235s
 22056  4986 16480.0200   46   50 16585.0000 16406.5836  1.08%  54.7  240s
 22650  4947 16503.7643   46   66 16585.0000 16409.9215  1.06%  55.1  245s
 23292  4882 16484.2675   44   70 16585.0000 16412.0626  1.04%  55.3  250s
 23601  4865 16580.5444   50   49 16585.0000 16413.0650  1.04%  55.4  257s
 23988  4841 16504.1148   43   71 16585.0000 16414.5401  1.03%  55.5  260s
 24608  5008 16566.9574   49   51 16585.0000 16416.2504  1.02%  55.8  265s
 25264  5156 16530.0456   47   49 16585.0000 16418.5258  1.00%  56.1  270s
 25895  5330 16518.6912   45   59 16585.0000 16420.1849  0.99%  56.2  275s
 26505  5469 16493.8988   39   74 16585.0000 16422.6997  0.98%  56.5  280s
 27136  5603 16576.6538   50   62 16585.0000 16424.2842  0.97%  56.7  285s
 27790  5732 16451.7364   43   74 16585.0000 16426.1543  0.96%  56.9  290s
 28439  5867 16465.7447   42   60 16585.0000 16427.7011  0.95%  57.1  295s
 29071  6003 16575.0031   49   53 16585.0000 16429.4779  0.94%  57.2  300s
 29736  6118 16550.5790   45   59 16585.0000 16430.9559  0.93%  57.3  305s
 30406  6246 16526.3347   44   70 16585.0000 16432.5533  0.92%  57.3  310s
 31074  6370 16534.3699   54   47 16585.0000 16434.0273  0.91%  57.4  315s
 31692  6488 16567.5101   48   66 16585.0000 16435.2420  0.90%  57.6  320s
 32365  6601 16505.4304   47   61 16585.0000 16436.8598  0.89%  57.7  325s
 33042  6733 16471.2476   45   68 16585.0000 16438.1779  0.89%  57.7  330s
 33680  6826 16566.3424   46   61 16585.0000 16439.6761  0.88%  57.8  335s
 34330  6928 16537.9343   51   45 16585.0000 16441.0860  0.87%  57.9  340s
 34974  7038 16497.7134   45   63 16585.0000 16442.5171  0.86%  58.0  345s
 35681  7140 16498.1280   52   48 16585.0000 16443.7062  0.85%  58.0  350s
 36343  7219 16564.0998   48   59 16585.0000 16445.0217  0.84%  58.1  355s
 36959  7309 16493.7908   44   76 16585.0000 16446.3114  0.84%  58.1  360s
 37493  7377 16452.4832   44   68 16585.0000 16447.4301  0.83%  58.2  365s
 38180  7463 16491.9290   43   66 16585.0000 16448.7630  0.82%  58.2  370s
 38893  7557 16581.1312   48   61 16585.0000 16449.9913  0.81%  58.2  375s
 39571  7656 16542.3085   47   64 16585.0000 16451.2327  0.81%  58.2  380s
 40260  7716 16472.2745   44   70 16585.0000 16452.5015  0.80%  58.2  385s
 40962  7799 16478.6894   46   64 16585.0000 16453.8323  0.79%  58.2  390s
 41606  7863 16549.8017   44   62 16585.0000 16455.1386  0.78%  58.3  395s
 42310  7916 16481.9404   46   66 16585.0000 16456.5435  0.77%  58.3  400s
 42979  7978 16582.9387   46   65 16585.0000 16457.3074  0.77%  58.3  405s
 43683  8064 16541.3224   47   67 16585.0000 16458.6497  0.76%  58.3  410s
 44300  8112 16526.1004   43   60 16585.0000 16459.5053  0.76%  58.3  415s
 44978  8176 16486.6636   45   59 16585.0000 16460.4269  0.75%  58.4  420s
 45650  8222 16505.1465   40   76 16585.0000 16461.5737  0.74%  58.4  425s
 46210  8305 16543.2855   48   50 16585.0000 16462.2019  0.74%  58.4  434s
 46308  8311 16506.2573   44   70 16585.0000 16462.3862  0.74%  58.4  435s
 46978  8357 16539.5677   42   75 16585.0000 16463.3253  0.73%  58.4  440s
 47665  8442 16523.4815   44   59 16585.0000 16464.1621  0.73%  58.4  445s
 48355  8491 16577.7097   43   62 16585.0000 16465.0549  0.72%  58.4  450s
 49032  8580 16489.6323   42   67 16585.0000 16465.8657  0.72%  58.4  455s
 49727  8624 16491.6199   46   69 16585.0000 16466.9203  0.71%  58.3  460s
 50408  8685 16519.4321   47   61 16585.0000 16467.8601  0.71%  58.3  465s
 51111  8722     cutoff   52      16585.0000 16468.9063  0.70%  58.3  470s
 51827  8773 16574.1687   50   64 16585.0000 16469.9509  0.69%  58.3  475s
 52478  8812 16560.4606   52   55 16585.0000 16470.8346  0.69%  58.3  480s
 52787  8843 16561.7749   48   63 16585.0000 16471.1181  0.69%  58.3  487s
 53216  8872 16492.5862   49   48 16585.0000 16471.6395  0.68%  58.3  490s
 53895  8920 16490.8446   48   48 16585.0000 16472.4123  0.68%  58.3  495s
 54543  8919 16508.5618   39   72 16585.0000 16473.3594  0.67%  58.3  500s
 55199  8959     cutoff   54      16585.0000 16474.1385  0.67%  58.4  505s
 55860  9002 16496.9149   43   72 16585.0000 16475.0065  0.66%  58.4  510s
 56514  9023 16505.0588   40   72 16585.0000 16475.6792  0.66%  58.4  515s
 57184  9041 16508.1458   45   42 16585.0000 16476.5464  0.65%  58.5  520s
 57880  9039     cutoff   44      16585.0000 16477.3400  0.65%  58.5  525s
 58473  9055 16568.3060   50   59 16585.0000 16478.0363  0.64%  58.5  530s
 59095  9050 16554.2166   48   64 16585.0000 16478.7612  0.64%  58.6  535s
 59805  9066 16518.5511   41   72 16585.0000 16479.6729  0.64%  58.6  540s
 60474  9069 16562.0986   47   62 16585.0000 16480.6629  0.63%  58.6  545s
 61132  9073     cutoff   45      16585.0000 16481.3927  0.62%  58.6  550s
 61805  9087 16579.6373   45   68 16585.0000 16482.2074  0.62%  58.6  555s
 62438  9084 16576.8138   50   49 16585.0000 16482.9459  0.62%  58.7  560s
 63105  9098 16584.6128   56   34 16585.0000 16483.6122  0.61%  58.7  565s
 63752  9108 16562.1437   52   49 16585.0000 16484.1863  0.61%  58.7  570s
 64451  9118 16552.1087   48   43 16585.0000 16484.9018  0.60%  58.7  575s
 65149  9112 16528.3970   45   64 16585.0000 16485.8217  0.60%  58.7  580s
 65825  9103 16533.5247   44   64 16585.0000 16486.4279  0.59%  58.8  585s
 66469  9108 16547.6376   42   64 16585.0000 16487.2378  0.59%  58.8  590s
 67146  9098 16547.7150   38   77 16585.0000 16487.9841  0.58%  58.8  595s
 67704  9096 16539.8010   50   50 16585.0000 16488.4656  0.58%  58.9  600s
 68381  9080 16553.5443   50   63 16585.0000 16489.2428  0.58%  58.9  605s
 69028  9081 16578.4859   46   64 16585.0000 16489.8521  0.57%  58.9  610s
 69672  9087 16512.8345   48   57 16585.0000 16490.4945  0.57%  59.0  615s
 70304  9063     cutoff   52      16585.0000 16491.0578  0.57%  59.0  620s
 70975  9044 16567.6103   48   61 16585.0000 16491.6991  0.56%  59.0  625s
 71671  9010 16556.9710   47   53 16585.0000 16492.4623  0.56%  59.0  630s
 72362  8989 16555.5138   45   65 16585.0000 16493.2170  0.55%  59.0  635s
 73028  8945 16559.8907   48   62 16585.0000 16494.0173  0.55%  59.0  640s
 73709  8917     cutoff   49      16585.0000 16494.7309  0.54%  59.0  645s
 74404  8873 16498.8807   45   58 16585.0000 16495.5017  0.54%  59.0  650s
 75077  8829 16527.4890   44   66 16585.0000 16496.1819  0.54%  59.0  655s
 75740  8791 16558.7268   49   58 16585.0000 16496.9721  0.53%  59.1  660s
 76382  8759 16567.2990   45   63 16585.0000 16497.8083  0.53%  59.0  665s
 77007  8725 16520.7745   50   47 16585.0000 16498.5613  0.52%  59.1  670s
 77682  8701 16562.0977   49   69 16585.0000 16499.2161  0.52%  59.1  675s
 78369  8649 16576.6437   52   40 16585.0000 16499.9660  0.51%  59.1  680s
 79003  8598     cutoff   47      16585.0000 16500.5922  0.51%  59.1  685s
