Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xab228c3b
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [5e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.02s
Presolved: 4317 rows, 4266 columns, 16720 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 52000.000000

Root relaxation: objective 1.657450e+04, 2877 iterations, 0.13 seconds (0.15 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2340  1144 19660.9096   38   71 20445.0000 19514.8372  4.55%  60.4   40s
  2823  1445 19810.1958   39   60 20445.0000 19527.8038  4.49%  60.9   45s
  3268  1744 20384.8283   58   37 20445.0000 19537.2747  4.44%  61.5   50s
H 3450  1783                    20378.000000 19540.3884  4.11%  61.7   52s
H 3476  1798                    20375.000000 19541.1330  4.09%  61.8   52s
  3560  1858 20001.4978   36   64 20375.0000 19545.1637  4.07%  61.8   55s
  3914  2092 19709.7602   35   76 20375.0000 19553.1154  4.03%  63.2   60s
  4233  2310 19992.8687   48   46 20375.0000 19558.8541  4.01%  63.9   65s
  4606  2562 20041.3798   46   46 20375.0000 19565.2467  3.97%  64.1   70s
  4952  2787 20207.1204   55   36 20375.0000 19570.2618  3.95%  64.5   75s
  5334  3041 20161.6696   46   56 20375.0000 19574.1839  3.93%  65.1   80s
  5604  3227 20008.4619   44   56 20375.0000 19576.2777  3.92%  65.8   85s
H 5907  3365                    20362.000000 19580.8337  3.84%  66.6   94s
  5948  3395 19684.4286   43   61 20362.0000 19581.3953  3.83%  66.4   95s
  6266  3607 20155.9369   48   55 20362.0000 19584.2236  3.82%  66.9  100s
  6670  3833 19803.1064   41   55 20362.0000 19586.5973  3.81%  67.1  105s
  7035  4059 19654.3998   37   68 20362.0000 19589.3946  3.79%  67.2  110s
  7363  4256 20041.3552   52   43 20362.0000 19594.5531  3.77%  67.3  115s
  7769  4505 20288.6534   54   48 20362.0000 19598.1362  3.75%  67.5  120s
  8093  4700 19840.2072   42   54 20362.0000 19600.0510  3.74%  67.6  125s
  8475  4940     cutoff   53      20362.0000 19603.2673  3.73%  67.4  130s
  8891  5199 19798.3757   39   71 20362.0000 19606.8643  3.71%  67.5  135s
  9289  5444     cutoff   58      20362.0000 19613.2568  3.68%  67.4  140s
  9606  5635 20350.4112   46   59 20362.0000 19614.8172  3.67%  67.5  145s
 10028  5910 20223.8060   50   38 20362.0000 19617.2914  3.66%  67.5  150s
 10203  6015 20005.7174   55   91 20362.0000 19618.5022  3.65%  67.7  174s
 10212  6021 19962.1196   40   91 20362.0000 19618.5022  3.65%  67.6  175s
 10229  6032 19678.6667   40   94 20362.0000 19618.5022  3.65%  67.5  180s
 10239  6039 20093.4648   56   98 20362.0000 19618.5022  3.65%  67.4  185s
 10261  6054 19820.6070   38   98 20362.0000 19618.5022  3.65%  67.3  190s
 10292  6074 19684.1889   36   96 20362.0000 19618.5022  3.65%  67.1  195s
 10305  6085 19618.5022   40   93 20362.0000 19618.5022  3.65%  67.8  201s
 10308  6087 19618.5022   41   86 20362.0000 19618.5022  3.65%  67.8  205s
 10313  6090 19618.5022   44   82 20362.0000 19618.5022  3.65%  67.9  211s
 10535  6202 19618.5022   43   84 20362.0000 19618.5022  3.65%  68.3  215s
 10789  6337 20320.2968   78   30 20362.0000 19618.5022  3.65%  68.3  220s
 10984  6413 20242.2726   74   34 20362.0000 19618.5022  3.65%  68.6  225s
 11205  6489 19988.0397   60   59 20362.0000 19618.5022  3.65%  69.0  230s
 11429  6578 20231.1703   58   63 20362.0000 19618.5022  3.65%  69.7  235s
 11676  6633 19696.3698   49   76 20362.0000 19618.5022  3.65%  70.4  240s
 11916  6717 19921.0859   52   61 20362.0000 19618.5022  3.65%  71.1  245s
 12169  6793 19696.9305   51   73 20362.0000 19618.5022  3.65%  71.9  250s
 12393  6865 20140.9824   65   50 20362.0000 19619.0380  3.65%  72.7  255s
 12624  6942 20226.7562   61   58 20362.0000 19624.3202  3.62%  73.5  260s
 12788  6976 19694.6653   48   82 20362.0000 19629.8357  3.60%  74.5  265s
 13026  7077 20251.4743   71   41 20362.0000 19633.3991  3.58%  75.0  270s
 13290  7144 19811.3790   52   69 20362.0000 19639.8810  3.55%  75.5  275s
 13560  7230 19969.9688   51   71 20362.0000 19644.6693  3.52%  75.8  280s
 13780  7284 20114.9292   55   61 20362.0000 19647.8720  3.51%  76.3  285s
 14053  7341 20006.2646   54   66 20362.0000 19649.9971  3.50%  77.1  290s
 14357  7415 20318.0106   69   33 20362.0000 19653.4671  3.48%  77.9  295s
 14646  7468 19712.4951   48   78 20362.0000 19659.4784  3.45%  78.6  300s
 14852  7504 20242.3211   55   64 20362.0000 19662.4217  3.44%  79.5  305s
 15112  7562 19919.0913   56   61 20362.0000 19664.5274  3.43%  80.1  310s
 15365  7605 20112.7326   64   47 20362.0000 19667.6902  3.41%  81.0  315s
 15375  7605 19793.5136   49   75 20362.0000 19667.7557  3.41%  81.0  324s
 15402  7614 20354.4616   69   36 20362.0000 19667.7557  3.41%  81.1  325s
 15728  7709 20098.4029   60   51 20362.0000 19671.1413  3.39%  81.6  330s
 15960  7755 20353.6755   56   60 20362.0000 19673.6131  3.38%  82.4  335s
 16218  7803 20252.2089   66   45 20362.0000 19675.1220  3.37%  83.2  340s
 16473  7862 20033.0964   61   50 20362.0000 19678.3427  3.36%  84.0  345s
 16732  7909 20358.5924   59   65 20362.0000 19679.3495  3.35%  84.4  350s
 17016  7995 20309.9447   53   70 20362.0000 19681.0524  3.34%  85.0  355s
 17274  8054 20347.6824   72   31 20362.0000 19683.2000  3.33%  85.8  360s
 17580  8117 20161.2180   69   36 20362.0000 19685.9455  3.32%  86.2  365s
 17744  8150 20347.7856   52   74 20362.0000 19686.7075  3.32%  86.7  370s
 18061  8194 19833.9304   50   80 20362.0000 19690.2516  3.30%  87.1  375s
 18275  8249 20086.6712   56   57 20362.0000 19691.6968  3.29%  87.9  380s
 18466  8301 20267.4621   66   37 20362.0000 19692.6850  3.29%  88.2  385s
 18699  8376 20238.6725   62   52 20362.0000 19694.8738  3.28%  88.8  390s
 18980  8421 19859.1662   59   50 20362.0000 19696.1467  3.27%  89.3  395s
 19247  8494 20341.5388   62   59 20362.0000 19697.2782  3.26%  89.8  400s
 19559  8525 20105.9071   62   56 20362.0000 19700.0372  3.25%  90.2  405s
 19809  8587 20104.7572   53   73 20362.0000 19702.0960  3.24%  90.7  410s
 20073  8610 20133.5454   57   70 20362.0000 19703.5692  3.23%  91.1  415s
 20330  8670 19977.8452   58   64 20362.0000 19704.9276  3.23%  91.7  420s
 20639  8755 20024.9820   52   76 20362.0000 19706.6461  3.22%  92.1  425s
 20895  8799 19712.2423   50   80 20362.0000 19708.7878  3.21%  92.7  430s
 21114  8853 19903.1321   53   67 20362.0000 19710.1138  3.20%  93.2  435s
 21383  8913 20304.5561   69   41 20362.0000 19711.3218  3.20%  93.7  440s
 21673  8974 20118.3638   68   45 20362.0000 19712.3803  3.19%  94.2  445s
 22008  9050 19810.2544   52   68 20362.0000 19713.7581  3.18%  94.4  450s
 22282  9107 19718.5105   51   72 20362.0000 19714.9348  3.18%  94.7  455s
 22542  9162 19874.7961   53   65 20362.0000 19716.4214  3.17%  95.2  460s
 22800  9213 20283.5883   62   62 20362.0000 19717.4800  3.17%  95.7  465s
 23094  9288 20288.8132   59   58 20362.0000 19719.3621  3.16%  96.0  470s
 23393  9337 19860.1655   56   59 20362.0000 19721.3913  3.15%  96.3  475s
 23706  9390 19818.1250   47   74 20362.0000 19723.1017  3.14%  96.6  480s
 23953  9432 20176.3983   63   40 20362.0000 19723.8909  3.13%  97.0  485s
 24258  9502 20043.8817   58   51 20362.0000 19725.5227  3.13%  97.2  490s
 24593  9586 20140.4946   70   44 20362.0000 19726.4425  3.12%  97.3  495s
 24837  9623 19983.5901   52   66 20362.0000 19728.4951  3.11%  97.8  500s
 25121  9664 19937.6257   56   70 20362.0000 19729.8010  3.10%  98.1  505s
 25388  9737 20101.1288   50   76 20362.0000 19732.1807  3.09%  98.5  510s
 25653  9801 20307.4164   67   33 20362.0000 19733.2060  3.09%  98.8  515s
 25932  9849 19752.2305   53   73 20362.0000 19734.0276  3.08%  99.1  520s
 26193  9911 20319.1287   64   47 20362.0000 19734.7657  3.08%  99.4  525s
 26504  9975 19763.4569   54   61 20362.0000 19735.6737  3.08%   100  530s
 26832 10038 19950.9676   50   65 20362.0000 19736.8452  3.07%   100  535s
 27144 10095 20174.8823   58   64 20362.0000 19737.6830  3.07%   100  540s
 27427 10146 19793.8465   53   70 20362.0000 19739.1768  3.06%   100  545s
 27686 10206 20144.7210   60   57 20362.0000 19739.9232  3.06%   100  550s
 28037 10276 20192.0879   53   67 20362.0000 19740.9864  3.05%   100  555s
 28288 10321 20324.9589   69   44 20362.0000 19741.7066  3.05%   101  560s
 28578 10382 20335.8498   64   54 20362.0000 19742.1321  3.04%   101  565s
 28913 10553 19994.1316   57   61 20362.0000 19743.3389  3.04%   101  570s
 29145 10683 19967.4517   55   71 20362.0000 19744.2773  3.03%   101  575s
 29364 10812 20083.3140   59   56 20362.0000 19745.3410  3.03%   102  580s
 29646 10956 20249.2951   66   23 20362.0000 19746.5737  3.02%   102  585s
 29979 11114 20131.4669   67   32 20362.0000 19747.6665  3.02%   102  590s
 30241 11226 20335.2903   67   43 20362.0000 19748.4628  3.01%   102  595s
 30547 11379 19962.1153   50   73 20362.0000 19749.4881  3.01%   103  600s
 30840 11512 19982.4272   56   71 20362.0000 19751.2356  3.00%   103  605s
 31104 11641 19982.8912   56   63 20362.0000 19752.5166  2.99%   103  610s
 31379 11798 20344.8742   71   30 20362.0000 19752.9377  2.99%   103  615s
 31640 11939 20319.2323   59   58 20362.0000 19753.9723  2.99%   104  620s
 31964 12085 20109.4368   56   68 20362.0000 19754.7153  2.98%   104  625s
 32210 12195 20350.0150   64   39 20362.0000 19755.5525  2.98%   104  630s
 32479 12325 19899.0208   56   73 20362.0000 19756.3744  2.97%   104  635s
