xp_sol;xr_sol;sp_sol;sr_sol;yp_sol;yr_sol
145.72115384615384;0.0;58.72115384615384;20.0;1.0;0.0
149.27884615384616;0.0;98.0;40.0;1.0;0.0
0.0;0.0;0.0;71.0;0.0;0.0
111.0;0.0;0.0;94.0;1.0;0.0
112.0;0.0;0.0;116.0;1.0;0.0
0.0;132.55769230769232;2.557692307692321;12.44230769230768;0.0;1.0
146.16346153846152;0.0;45.72115384615384;39.44230769230768;1.0;0.0
149.27884615384616;0.0;93.0;69.44230769230768;1.0;0.0
0.0;0.0;0.0;89.44230769230768;0.0;0.0
0.0;108.0;0.0;9.44230769230768;0.0;1.0
108.0;0.0;0.0;36.44230769230768;1.0;0.0
121.72115384615384;0.0;20.72115384615384;68.44230769230768;1.0;0.0
149.27884615384616;0.0;83.0;95.44230769230768;1.0;0.0
0.0;0.0;0.0;129.44230769230768;0.0;0.0
0.0;147.72115384615384;48.72115384615384;15.72115384615384;0.0;1.0
149.27884615384616;0.0;93.0;50.72115384615384;1.0;0.0
0.0;0.0;0.0;79.72115384615384;0.0;0.0
149.27884615384616;0.0;54.27884615384616;115.72115384615384;1.0;0.0
0.0;141.72115384615384;102.0;0.0;0.0;1.0
0.0;0.0;0.0;26.0;0.0;0.0
140.72115384615384;0.0;38.72115384615384;60.0;1.0;0.0
149.27884615384616;0.0;94.0;79.0;1.0;0.0
0.0;0.0;0.0;105.0;0.0;0.0
0.0;132.0;38.0;0.0;0.0;1.0
148.0;0.0;84.0;29.0;1.0;0.0
0.0;0.0;0.0;57.0;0.0;0.0
0.0;92.0;0.0;0.0;0.0;1.0
121.72115384615384;0.0;43.72115384615384;25.0;1.0;0.0
149.27884615384616;0.0;74.0;54.0;1.0;0.0
0.0;0.0;0.0;86.0;0.0;0.0
0.0;111.0;10.0;0.0;0.0;1.0
137.72115384615384;0.0;51.72115384615384;29.0;1.0;0.0
149.27884615384616;0.0;97.0;63.0;1.0;0.0
0.0;0.0;0.0;96.0;0.0;0.0
0.0;118.72115384615384;18.72115384615384;16.27884615384616;0.0;1.0
149.27884615384616;0.0;78.0;35.27884615384616;1.0;0.0
0.0;0.0;0.0;61.27884615384616;0.0;0.0
113.44230769230768;0.0;13.44230769230768;92.27884615384616;1.0;0.0
149.27884615384616;0.0;46.72115384615384;121.27884615384616;1.0;0.0
0.0;149.27884615384616;88.0;4.0;0.0;1.0
0.0;0.0;0.0;30.0;0.0;0.0
112.72115384615384;0.0;6.72115384615384;63.0;1.0;0.0
0.0;95.27884615384616;0.0;0.7211538461538396;0.0;1.0
116.0;0.0;0.0;22.72115384615384;1.0;0.0
123.44230769230768;0.0;13.44230769230768;45.72115384615384;1.0;0.0
149.27884615384616;0.0;41.72115384615384;69.72115384615384;1.0;0.0
149.27884615384616;0.0;91.0;99.72115384615384;1.0;0.0
0.0;0.0;0.0;130.72115384615384;0.0;0.0
0.0;142.72115384615384;44.72115384615384;16.0;0.0;1.0
149.27884615384616;0.0;104.0;44.0;1.0;0.0
0.0;0.0;0.0;74.0;0.0;0.0
0.0;105.0;0.0;0.0;0.0;1.0
