52_1.txt;10135.092;10135.092;0.0;192.994;143836.0
52_1.txt;0;0;0;0;0
52_1.txt;10135.092;10135.092;0.0;71.351;141126.0
52_1.txt;10135.092;10135.092;0.0;71.294;141126.0
52_1.txt;10135.092;10345.969;10135.092;0.0;33.532;71408.0
52_1.txt;10135.092;11004.783;10135.092;0.0;76.291;133999.0
52_1.txt;10135.092;10345.969;10135.092;0.0;30.364;67375.0
52_1.txt;10135.092;10041.766;10135.092;0.0;33.729;80137.0
52_1.txt;10135.092;10009.891;10135.092;0.0;29.293;69764.0
52_1.txt;10135.092;10440.558;10135.092;0.0;43.096;88534.0
52_1.txt;10135.092;10148.432;10135.092;0.0;71.953;134884.0
52_1.txt;10135.092;10148.432;10135.092;0.0;74.685;134884.0
52_1.txt;10135.092;10159.405;10135.092;0.0;61.354;120236.0
52_1.txt;10135.092;10345.969;10135.092;0.0;32.22;67375.0
