Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0x4b1e5bf6
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [2e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Found heuristic solution: objective 157586.40000
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)

Root relaxation: objective 2.312657e+04, 878 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 25923.0286    0   96 84507.0866 25923.0286  69.3%     -    1s
     0     0 26007.9817    0   92 84507.0866 26007.9817  69.2%     -    1s
     0     0 26044.8332    0   92 84507.0866 26044.8332  69.2%     -    1s
     0     0 26052.9454    0   93 84507.0866 26052.9454  69.2%     -    1s
     0     0 26059.9745    0   92 84507.0866 26059.9745  69.2%     -    2s
     0     0 26060.3517    0   92 84507.0866 26060.3517  69.2%     -    2s
     0     0 26250.5072    0   93 84507.0866 26250.5072  68.9%     -    2s
     0     0 26267.1397    0   92 84507.0866 26267.1397  68.9%     -    2s
     0     0 26271.3919    0   92 84507.0866 26271.3919  68.9%     -    2s
     0     0 26272.7646    0   92 84507.0866 26272.7646  68.9%     -    2s
     0     0 26357.1590    0   93 84507.0866 26357.1590  68.8%     -    2s
     0     0 26379.1473    0   93 84507.0866 26379.1473  68.8%     -    2s
     0     0 26385.8257    0   92 84507.0866 26385.8257  68.8%     -    2s
     0     0 26388.1628    0   92 84507.0866 26388.1628  68.8%     -    2s
     0     0 26474.1952    0   92 84507.0866 26474.1952  68.7%     -    2s
     0     0 26505.6738    0   92 84507.0866 26505.6738  68.6%     -    2s
     0     0 26510.4003    0   92 84507.0866 26510.4003  68.6%     -    2s
     0     0 26512.5102    0   93 84507.0866 26512.5102  68.6%     -    2s
     0     0 26598.0427    0   93 84507.0866 26598.0427  68.5%     -    2s
     0     0 26627.9039    0   94 84507.0866 26627.9039  68.5%     -    2s
     0     0 26630.4918    0   92 84507.0866 26630.4918  68.5%     -    2s
     0     0 26674.6935    0   94 84507.0866 26674.6935  68.4%     -    2s
     0     0 26687.8039    0   94 84507.0866 26687.8039  68.4%     -    2s
     0     0 26691.9471    0   94 84507.0866 26691.9471  68.4%     -    2s
     0     0 26692.2495    0   94 84507.0866 26692.2495  68.4%     -    2s
     0     0 26753.0968    0   93 84507.0866 26753.0968  68.3%     -    2s
     0     0 26771.0506    0   93 84507.0866 26771.0506  68.3%     -    2s
     0     0 26773.0177    0   93 84507.0866 26773.0177  68.3%     -    2s
     0     0 26815.1659    0   93 84507.0866 26815.1659  68.3%     -    2s
     0     0 26824.8566    0   92 84507.0866 26824.8566  68.3%     -    2s
     0     0 26827.6210    0   92 84507.0866 26827.6210  68.3%     -    2s
     0     0 26872.3648    0   94 84507.0866 26872.3648  68.2%     -    2s
     0     0 26882.4767    0   93 84507.0866 26882.4767  68.2%     -    2s
     0     0 26883.9410    0   93 84507.0866 26883.9410  68.2%     -    2s
     0     0 26924.9544    0   93 84507.0866 26924.9544  68.1%     -    2s
     0     0 26936.9422    0   94 84507.0866 26936.9422  68.1%     -    2s
     0     0 26939.0499    0   94 84507.0866 26939.0499  68.1%     -    2s
     0     0 26967.2852    0   93 84507.0866 26967.2852  68.1%     -    2s
     0     0 26967.2852    0   93 84507.0866 26967.2852  68.1%     -    3s
H    0     0                    58083.809321 26967.2852  53.6%     -    3s
H    0     0                    57907.053957 26967.2852  53.4%     -    3s
     0     2 26971.3040    0   93 57907.0540 26971.3040  53.4%     -    3s
H   27    19                    57880.459921 27363.5349  52.7%  55.0    4s
H   54    35                    57820.105770 27363.5349  52.7%  70.9    4s
H   56    37                    57432.025526 27363.5349  52.4%  71.9    4s
H   61    40                    57347.524411 27363.5349  52.3%  73.8    4s
H   62    41                    54712.298472 27363.5349  50.0%  73.2    4s
H   70    45                    54195.669228 27363.5349  49.5%  73.4    4s
H   74    49                    52413.681529 27363.5349  47.8%  72.6    4s
H   78    51                    52045.319904 27363.5349  47.4%  69.3    4s
H   80    53                    51974.388465 27363.5349  47.4%  68.0    4s
H   86    55                    51935.169130 27363.5349  47.3%  63.9    4s
H  102    67                    51766.572559 27363.5349  47.1%  57.1    4s
H  107    72                    51753.212905 27363.5349  47.1%  55.0    4s
H  109    73                    51567.967206 27363.5349  46.9%  54.2    4s
H  113    77                    51361.589254 27363.5349  46.7%  53.7    4s
H  118    80                    50998.920209 27363.5349  46.3%  52.2    4s
H  124    80                    50270.000000 27363.5349  45.6%  50.7    4s
   163   117 39363.9325   33   48 50270.0000 27363.6217  45.6%  58.8    5s
H  490   371                    50025.000000 27695.6649  44.6%  74.8    9s
   506   383 33275.6880   10   71 50025.0000 27739.8009  44.5%  76.6   10s
H  722   500                    50010.400000 46352.5597  7.31%  67.6   14s
   776   527 46948.0078   54   44 50010.4000 46353.1105  7.31%  64.1   15s
H  979   608                    49532.805958 46353.1464  6.42%  54.8   16s
H 1343   756                    49339.199939 46376.5813  6.00%  44.8   17s
H 2576  1478                    48768.310159 46398.9450  4.86%  32.4   19s
  2738  1603 47131.8418   62   38 48768.3102 46418.0551  4.82%  31.4   20s
H 3576  2239                    48748.600000 46427.3612  4.76%  28.9   21s
