Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0xaa5114e4
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [3e+00, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)
Found heuristic solution: objective 114414.00000

Root relaxation: objective 2.199249e+04, 1261 iterations, 0.05 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 24282.8359    0   92 77402.8154 24282.8359  68.6%     -    1s
     0     0 24435.3494    0   91 77402.8154 24435.3494  68.4%     -    1s
     0     0 24463.9964    0   93 77402.8154 24463.9964  68.4%     -    1s
     0     0 24467.5675    0   92 77402.8154 24467.5675  68.4%     -    1s
     0     0 24468.3474    0   92 77402.8154 24468.3474  68.4%     -    1s
     0     0 24534.2050    0   92 77402.8154 24534.2050  68.3%     -    1s
     0     0 24545.4186    0   92 77402.8154 24545.4186  68.3%     -    1s
     0     0 24548.8734    0   92 77402.8154 24548.8734  68.3%     -    1s
     0     0 24549.6841    0   92 77402.8154 24549.6841  68.3%     -    1s
     0     0 24626.9542    0   90 77402.8154 24626.9542  68.2%     -    2s
     0     0 24650.7605    0   91 77402.8154 24650.7605  68.2%     -    2s
     0     0 24654.2347    0   91 77402.8154 24654.2347  68.1%     -    2s
     0     0 24655.1539    0   91 77402.8154 24655.1539  68.1%     -    2s
     0     0 24776.0005    0   92 77402.8154 24776.0005  68.0%     -    2s
     0     0 24828.5474    0   92 77402.8154 24828.5474  67.9%     -    2s
     0     0 24842.1730    0   92 77402.8154 24842.1730  67.9%     -    2s
     0     0 24844.7104    0   92 77402.8154 24844.7104  67.9%     -    2s
     0     0 24969.9491    0   92 77402.8154 24969.9491  67.7%     -    2s
     0     0 24986.1177    0   93 77402.8154 24986.1177  67.7%     -    2s
     0     0 24988.9287    0   92 77402.8154 24988.9287  67.7%     -    2s
     0     0 25066.8216    0   91 77402.8154 25066.8216  67.6%     -    2s
     0     0 25073.9978    0   91 77402.8154 25073.9978  67.6%     -    2s
     0     0 25077.8041    0   91 77402.8154 25077.8041  67.6%     -    2s
     0     0 25078.1218    0   90 77402.8154 25078.1218  67.6%     -    2s
     0     0 25120.2540    0   91 77402.8154 25120.2540  67.5%     -    2s
     0     0 25129.6195    0   92 77402.8154 25129.6195  67.5%     -    2s
     0     0 25132.1696    0   92 77402.8154 25132.1696  67.5%     -    2s
     0     0 25164.2044    0   91 77402.8154 25164.2044  67.5%     -    2s
     0     0 25174.3183    0   92 77402.8154 25174.3183  67.5%     -    2s
