Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 468 rows, 4290 columns and 20826 nonzeros
Model fingerprint: 0x25bcf9d5
Variable types: 4186 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+03]
  Objective range  [2e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+02]
Found heuristic solution: objective 81580.000000
Presolve removed 103 rows and 1 columns
Presolve time: 0.03s
Presolved: 365 rows, 4289 columns, 18016 nonzeros
Variable types: 4186 continuous, 103 integer (103 binary)

Root relaxation: objective 1.317312e+04, 567 iterations, 0.02 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H   75    75                    23929.657815 13924.8954  41.8%  27.9    1s
H   76    76                    23502.640378 13924.8954  40.8%  27.5    1s
H   78    77                    23050.337783 13924.8954  39.6%  27.7    1s
H   78    77                    22996.259649 13924.8954  39.4%  27.7    1s
H   80    79                    22877.430193 13924.8954  39.1%  27.8    1s
H   81    80                    22800.861308 13924.8954  38.9%  27.5    1s
H   83    82                    22728.916777 13924.8954  38.7%  27.4    1s
H   89    88                    22719.469796 13924.8954  38.7%  26.4    1s
H   90    89                    22506.744022 13924.8954  38.1%  26.2    1s
H   92    91                    22443.559218 13924.8954  38.0%  26.4    1s
H   94    93                    22295.850262 13924.8954  37.5%  26.3    1s
H   95    94                    22230.605631 13924.8954  37.4%  26.0    1s
H   99    98                    21746.882878 13924.8954  36.0%  26.2    1s
H  105   103                    21445.938923 13924.8954  35.1%  25.6    1s
H  106   104                    21273.517057 13924.8954  34.5%  25.5    1s
H  108   106                    21245.764266 13924.8954  34.5%  25.6    1s
H  110   108                    20817.803237 13924.8954  33.1%  25.3    1s
H  113   111                    20764.326455 13924.8954  32.9%  25.0    1s
H  116   114                    20654.326455 13924.8954  32.6%  24.8    1s
H  118   115                    20440.542455 13924.8954  31.9%  24.6    1s
H  123   120                    20334.486780 13924.8954  31.5%  24.4    1s
H  126   120                    20092.728571 13924.8954  30.7%  24.2    1s
H  132   120                    19885.800000 13924.8954  30.0%  23.4    1s
H  216   192                    19787.674208 13925.1666  29.6%  26.3    2s
H  217   193                    19781.343809 13925.1666  29.6%  26.2    2s
H  218   194                    19768.035984 13925.1666  29.6%  26.1    2s
H  219   192                    19404.696390 13925.1666  28.2%  26.1    2s
H  227   200                    19400.536504 13925.1666  28.2%  25.6    2s
H  231   204                    19284.936504 13925.1666  27.8%  25.4    2s
H  236   209                    19262.830096 13925.1666  27.7%  25.8    2s
H  238   211                    19251.288235 13925.1666  27.7%  26.0    2s
H  245   206                    18976.800000 13925.1666  26.6%  25.8    2s
H  337   289                    18877.807080 13935.2777  26.2%  27.1    2s
H  338   288                    18690.607080 13935.2777  25.4%  27.1    2s
H  340   289                    18674.231858 13935.2777  25.4%  27.0    2s
H  343   278                    18193.800000 13935.2777  23.4%  26.8    2s
   533   440 15774.9403   51   93 18193.8000 15535.8445  14.6%  27.9    5s
H  624   476                    18165.200000 15611.6508  14.1%  31.1    6s
H 1195   692                    17801.000000 15636.6781  12.2%  23.5    7s
* 1252   681             101    17703.200000 15636.6781  11.7%  23.1    7s
  2303  1382 17342.9616   86   14 17703.2000 15711.6349  11.2%  20.2   10s
H 2326  1368                    17625.400000 15711.6349  10.9%  20.1   10s
* 2327  1368             102    17624.800000 15711.6349  10.9%  20.1   10s
H 3000  1759                    17465.496941 15741.0948  9.87%  19.4   11s
H 3001  1597                    17265.200000 15741.0948  8.83%  19.4   11s
H 3055  1558                    17186.400000 15744.7278  8.39%  19.4   11s
  4857  2876 17011.9634   58   54 17186.4000 15777.1838  8.20%  18.9   15s
H 5407  3146                    17129.200000 15789.0929  7.82%  19.0   16s
  7243  4449 16257.0710   48   66 17129.2000 15813.2345  7.68%  19.0   20s
  9847  6213 17019.9567   62   48 17129.2000 15831.2530  7.58%  18.9   25s
 10203  6453 16699.7500   61   96 17129.2000 15832.6833  7.57%  18.9   34s
 10212  6459 16390.5190   54  100 17129.2000 15832.6833  7.57%  18.9   35s
H10808  6450                    17060.200000 15832.6833  7.20%  18.9   38s
