xp_sol;xr_sol;sp_sol;sr_sol;yp_sol;yr_sol
142.95192307692307;0.0;55.951923076923066;20.0;1.0;0.0
152.04807692307693;0.0;98.0;40.0;1.0;0.0
0.0;0.0;0.0;71.0;0.0;0.0
111.0;0.0;0.0;94.0;1.0;0.0
0.0;116.0;4.0;0.0;0.0;1.0
126.0;0.0;0.0;29.0;1.0;0.0
123.90384615384613;0.0;20.903846153846132;56.0;1.0;0.0
0.0;86.0;4.903846153846132;0.0;0.0;1.0
152.04807692307693;0.0;63.951923076923066;20.0;1.0;0.0
152.04807692307693;0.0;108.0;48.0;1.0;0.0
0.0;0.0;0.0;75.0;0.0;0.0
0.0;107.0;6.0;0.0;0.0;1.0
137.95192307692307;0.0;39.951923076923066;20.0;1.0;0.0
152.04807692307693;0.0;88.0;49.0;1.0;0.0
0.0;0.0;0.0;73.0;0.0;0.0
119.95192307692307;0.0;10.951923076923066;86.0;1.0;0.0
0.0;119.0;31.951923076923066;6.0;0.0;1.0
152.04807692307693;0.0;103.0;41.0;1.0;0.0
0.0;0.0;0.0;78.0;0.0;0.0
0.0;104.0;0.0;0.0;0.0;1.0
137.95192307692307;0.0;45.951923076923066;23.0;1.0;0.0
152.04807692307693;0.0;85.0;45.0;1.0;0.0
0.0;0.0;0.0;79.0;0.0;0.0
0.0;112.0;4.0;0.0;0.0;1.0
136.95192307692307;0.0;28.951923076923066;19.0;1.0;0.0
152.04807692307693;0.0;97.0;52.0;1.0;0.0
0.0;0.0;0.0;81.0;0.0;0.0
0.0;98.0;0.0;11.0;0.0;1.0
128.0;0.0;24.0;40.0;1.0;0.0
0.0;76.0;0.0;0.0;0.0;1.0
128.95192307692307;0.0;35.951923076923066;24.0;1.0;0.0
152.04807692307693;0.0;96.0;60.0;1.0;0.0
0.0;0.0;0.0;86.0;0.0;0.0
0.0;120.0;6.0;0.0;0.0;1.0
132.95192307692307;0.0;28.951923076923066;30.0;1.0;0.0
152.04807692307693;0.0;95.0;49.0;1.0;0.0
0.0;0.0;0.0;83.0;0.0;0.0
0.0;112.0;20.0;3.0;0.0;1.0
128.95192307692307;0.0;54.951923076923066;25.0;1.0;0.0
152.04807692307693;0.0;107.0;51.0;1.0;0.0
0.0;0.0;0.0;85.0;0.0;0.0
0.0;108.0;0.0;0.0;0.0;1.0
152.0;0.0;43.0;40.0;1.0;0.0
0.0;74.0;0.0;0.0;0.0;1.0
99.0;0.0;0.0;30.0;1.0;0.0
110.0;0.0;0.0;61.0;1.0;0.0
0.0;90.0;0.0;0.0;0.0;1.0
105.0;0.0;0.0;28.0;1.0;0.0
102.0;0.0;9.0;62.0;1.0;0.0
0.0;87.0;0.0;0.0;0.0;1.0
119.0;0.0;0.0;19.0;1.0;0.0
99.0;0.0;0.0;39.0;1.0;0.0
